Type,conn,Payload,dialup,,,latency,,,,,,,throughput,Mode,,speed,,,success,latency,,,,,,,throughput,dialup,,,speed,,
,,,average,fastest,slowest,10%,25%,50%,75%,90%,95%,99%,Mib,secs,count,slowest,fastest,average,,10,25,50,75,90,95,99,,average,slowest,fastest,slowest,fastest,average
delay,wireless,10b,0.1043,0.0849,1.1695,0.2372,0.2425,0.2493,0.2566,0.2637,0.2693,0.3107,0.000605583,0.327,11338,1.3223,0.2162,0.2516,100%,-89.1,-89.8,-91.1,-92.8,-93.9,-94.3,-61,-0.000342369,1.7,1.1,35.7,-65.3,-84.3,-90.8
nodelay,wireless,10b,0.106,0.086,1.2052,0.1481,0.1527,0.1582,0.1638,0.1698,0.175,0.2497,0.000947952,0.244,17688,1.257,0.1319,0.1608,100%,,,,,,,,,,,,,,
delay,wireless,200kb,0.1031,0.0838,1.1678,0.3376,0.3446,0.3532,0.3643,0.3932,0.4474,0.5553,8.57,0.427,7377,1.4154,0.3176,0.3645,100%,-10.4,-10.7,-10.8,-9.2,32.6,60.3,61.8,-0.06,-0.2,0.3,0.4,49.4,-14.8,-2.7
nodelay,wireless,200kb,0.1029,0.0841,1.1682,0.3272,0.3339,0.3424,0.3551,0.4258,0.5077,0.6171,8.63,0.419,7127,1.4648,0.3028,0.3618,100%,,,,,,,,,,,,,,
delay,wireless,512kb,0.1049,0.0854,1.1794,0.4079,0.4157,0.4254,0.4402,0.4963,0.5579,0.8633,17.89,0.533,6004,1.8579,0.3863,0.4468,100%,3.6,4.4,6,12.6,43.4,75.7,34.2,0.53,2.3,-1.9,6.5,-337.2,-2.8,13.7
nodelay,wireless,512kb,0.1072,0.0835,1.1859,0.4115,0.4201,0.4314,0.4528,0.5397,0.6336,0.8975,17.36,0.497,5402,1.5207,0.3835,0.4605,100%,,,,,,,,,,,,,,
delay,wireless,1mb,0.1113,0.0855,1.2302,0.4967,0.5087,0.5259,0.5604,0.631,0.7008,0.8387,29.01,0.593,4406,1.7941,0.46,0.55,100%,-3.6,-2.5,2.4,16.4,45.9,89.8,104.4,0.59,0.9,0.9,-88.4,-261.2,-1.9,12.2
nodelay,wireless,1mb,0.1122,0.0864,1.1418,0.4931,0.5062,0.5283,0.5768,0.6769,0.7906,0.9431,28.42,0.566,3666,1.5329,0.4581,0.5622,100%,,,,,,,,,,,,,,
delay,wireless,1mb,2.2186,0.1506,3.6935,2.4726,2.59,2.742,2.9454,3.2961,3.573,4.112,5.59,3.108,430,4.8261,0.5315,2.8181,100%,40.3,45.8,54.7,96.5,252.8,460.4,673.3,0.18,46.8,29.7,-38.3,810.9,182.3,101.1
